model_name,description,train_metrics,val_metrics,test_metrics,best_iter,time,date,version,server,cmd
DeepFM,"lr=0.001,l2=0.001,vec_size=64,layers='[256, 128, 64]',batch_size=16,eval_batch_size=16",loss= 19012.0840,ndcg@10= 0.0605,ndcg@5= 0.0353  ndcg@10= 0.0492  ndcg@20= 0.0662  ndcg@50= 0.0920  ndcg@100= 0.1213  hit@10= 0.0986  recall@10= 0.0986  recall@20= 0.1665  precision@10= 0.0099,13,0:54:52,2021-03-30 15:04:24,c8f3a3494edeab118e7f_1949,thuir-deeper,"python main.py --model_name DeepFM --dataset ml100k-5-1 --val_metrics ndcg@10 --test_metrics ndcg@5.10.20.50.100,hit@10,recall@10.20,precision@10 --lr 0.001 --l2 0.001 --vec_size 64 --layers '[256, 128, 64]' --batch_size 16 --eval_batch_size 16"
DeepFM,"lr=0.001,l2=0.001,vec_size=64,layers='[128, 64]',batch_size=16,eval_batch_size=16",loss= 18008.2461,ndcg@10= 0.0735,ndcg@5= 0.0320  ndcg@10= 0.0495  ndcg@20= 0.0692  ndcg@50= 0.0991  ndcg@100= 0.1225  hit@10= 0.1050  recall@10= 0.1050  recall@20= 0.1835  precision@10= 0.0105,56,1:46:34,2021-03-30 15:56:07,454388adcd970a2fd248_1949,thuir-deeper,"python main.py --model_name DeepFM --dataset ml100k-5-1 --val_metrics ndcg@10 --test_metrics ndcg@5.10.20.50.100,hit@10,recall@10.20,precision@10 --lr 0.001 --l2 0.001 --vec_size 64 --layers '[128, 64]' --batch_size 16 --eval_batch_size 16"
DeepFM,"lr=0.001,l2=0.001,vec_size=64,layers='[64]',batch_size=16,eval_batch_size=16",loss= 17727.3242,ndcg@10= 0.0699,ndcg@5= 0.0370  ndcg@10= 0.0511  ndcg@20= 0.0683  ndcg@50= 0.0958  ndcg@100= 0.1220  hit@10= 0.1039  recall@10= 0.1039  recall@20= 0.1718  precision@10= 0.0104,56,1:33:26,2021-03-30 15:42:59,7ead31fe66b4c1f72512_1949,thuir-deeper,"python main.py --model_name DeepFM --dataset ml100k-5-1 --val_metrics ndcg@10 --test_metrics ndcg@5.10.20.50.100,hit@10,recall@10.20,precision@10 --lr 0.001 --l2 0.001 --vec_size 64 --layers '[64]' --batch_size 16 --eval_batch_size 16"
DeepFM,"lr=0.001,l2=0.001,vec_size=128,layers='[256, 128, 64]',batch_size=16,eval_batch_size=16",loss= 19262.0000,ndcg@10= 0.0672,ndcg@5= 0.0353  ndcg@10= 0.0519  ndcg@20= 0.0690  ndcg@50= 0.0956  ndcg@100= 0.1217  hit@10= 0.1050  recall@10= 0.1050  recall@20= 0.1729  precision@10= 0.0105,16,0:53:40,2021-03-30 15:04:13,afd49602b8434c7f1926_1949,thuir-deeper,"python main.py --model_name DeepFM --dataset ml100k-5-1 --val_metrics ndcg@10 --test_metrics ndcg@5.10.20.50.100,hit@10,recall@10.20,precision@10 --lr 0.001 --l2 0.001 --vec_size 128 --layers '[256, 128, 64]' --batch_size 16 --eval_batch_size 16"
DeepFM,"lr=0.001,l2=0.001,vec_size=128,layers='[128, 64]',batch_size=16,eval_batch_size=16",loss= 19353.0645,ndcg@10= 0.0609,ndcg@5= 0.0403  ndcg@10= 0.0529  ndcg@20= 0.0672  ndcg@50= 0.0909  ndcg@100= 0.1166  hit@10= 0.1007  recall@10= 0.1007  recall@20= 0.1591  precision@10= 0.0101,16,0:50:02,2021-03-30 15:54:27,82de9278a74ca4900ba8_1949,thuir-deeper,"python main.py --model_name DeepFM --dataset ml100k-5-1 --val_metrics ndcg@10 --test_metrics ndcg@5.10.20.50.100,hit@10,recall@10.20,precision@10 --lr 0.001 --l2 0.001 --vec_size 128 --layers '[128, 64]' --batch_size 16 --eval_batch_size 16"
DeepFM,"lr=0.001,l2=0.001,vec_size=128,layers='[64]',batch_size=16,eval_batch_size=16",loss= 18135.0625,ndcg@10= 0.0647,ndcg@5= 0.0352  ndcg@10= 0.0508  ndcg@20= 0.0666  ndcg@50= 0.0929  ndcg@100= 0.1179  hit@10= 0.1082  recall@10= 0.1082  recall@20= 0.1707  precision@10= 0.0108,38,1:13:34,2021-03-30 16:18:02,9be2dede1a2c001e11d5_1949,thuir-deeper,"python main.py --model_name DeepFM --dataset ml100k-5-1 --val_metrics ndcg@10 --test_metrics ndcg@5.10.20.50.100,hit@10,recall@10.20,precision@10 --lr 0.001 --l2 0.001 --vec_size 128 --layers '[64]' --batch_size 16 --eval_batch_size 16"
DeepFM,"lr=0.001,l2=0.001,vec_size=256,layers='[256, 128, 64]',batch_size=16,eval_batch_size=16",loss= 19356.8145,ndcg@10= 0.0589,ndcg@5= 0.0319  ndcg@10= 0.0465  ndcg@20= 0.0606  ndcg@50= 0.0867  ndcg@100= 0.1098  hit@10= 0.0923  recall@10= 0.0923  recall@20= 0.1485  precision@10= 0.0092,25,1:12:11,2021-03-30 16:56:20,8fd4bd3d926ddecaf242_1949,thuir-deeper,"python main.py --model_name DeepFM --dataset ml100k-5-1 --val_metrics ndcg@10 --test_metrics ndcg@5.10.20.50.100,hit@10,recall@10.20,precision@10 --lr 0.001 --l2 0.001 --vec_size 256 --layers '[256, 128, 64]' --batch_size 16 --eval_batch_size 16"
DeepFM,"lr=0.001,l2=0.001,vec_size=256,layers='[128, 64]',batch_size=16,eval_batch_size=16",loss= 19081.5625,ndcg@10= 0.0629,ndcg@5= 0.0317  ndcg@10= 0.0465  ndcg@20= 0.0589  ndcg@50= 0.0865  ndcg@100= 0.1118  hit@10= 0.0965  recall@10= 0.0965  recall@20= 0.1453  precision@10= 0.0097,26,1:04:17,2021-03-30 16:59:09,1bcc586959a1889c8ae8_1949,thuir-deeper,"python main.py --model_name DeepFM --dataset ml100k-5-1 --val_metrics ndcg@10 --test_metrics ndcg@5.10.20.50.100,hit@10,recall@10.20,precision@10 --lr 0.001 --l2 0.001 --vec_size 256 --layers '[128, 64]' --batch_size 16 --eval_batch_size 16"
DeepFM,"lr=0.001,l2=0.001,vec_size=256,layers='[64]',batch_size=16,eval_batch_size=16",loss= 18889.4258,ndcg@10= 0.0639,ndcg@5= 0.0390  ndcg@10= 0.0528  ndcg@20= 0.0683  ndcg@50= 0.0967  ndcg@100= 0.1224  hit@10= 0.1050  recall@10= 0.1050  recall@20= 0.1665  precision@10= 0.0105,26,1:00:26,2021-03-30 16:57:27,0ceeed504754e5defa54_1949,thuir-deeper,"python main.py --model_name DeepFM --dataset ml100k-5-1 --val_metrics ndcg@10 --test_metrics ndcg@5.10.20.50.100,hit@10,recall@10.20,precision@10 --lr 0.001 --l2 0.001 --vec_size 256 --layers '[64]' --batch_size 16 --eval_batch_size 16"
DeepFM,"lr=0.001,l2=0.0001,vec_size=64,layers='[256, 128, 64]',batch_size=16,eval_batch_size=16",loss= 9761.9189,ndcg@10= 0.0661,ndcg@5= 0.0414  ndcg@10= 0.0559  ndcg@20= 0.0772  ndcg@50= 0.1067  ndcg@100= 0.1356  hit@10= 0.1071  recall@10= 0.1071  recall@20= 0.1919  precision@10= 0.0107,33,1:14:44,2021-03-30 17:33:26,d9d8398f1dfdfac4eacd_1949,thuir-deeper,"python main.py --model_name DeepFM --dataset ml100k-5-1 --val_metrics ndcg@10 --test_metrics ndcg@5.10.20.50.100,hit@10,recall@10.20,precision@10 --lr 0.001 --l2 0.0001 --vec_size 64 --layers '[256, 128, 64]' --batch_size 16 --eval_batch_size 16"
