model_name,description,train_metrics,val_metrics,test_metrics,best_iter,time,date,version,server,cmd
NFM,"l2=0,dropout=0.2,layers='[256, 128, 64]',eval_batch_size=16",loss= 6397.5786,ndcg@10= 0.0801,ndcg@5= 0.0521  ndcg@10= 0.0651  ndcg@20= 0.0833  ndcg@50= 0.1145  ndcg@100= 0.1373  hit@10= 0.1230  recall@10= 0.1230  recall@20= 0.1962  precision@10= 0.0123,38,0:27:51,2021-03-31 10:44:42,b390a10d3230468edaca_1949,thuir-deeper,"python main.py --model_name NFM --dataset ml100k-5-1 --val_metrics ndcg@10 --test_metrics ndcg@5.10.20.50.100,hit@10,recall@10.20,precision@10 --l2 0 --dropout 0.2 --layers '[256, 128, 64]' --eval_batch_size 16"
NFM,"l2=0,dropout=0.2,layers='[128, 64]',eval_batch_size=16",loss= 6400.7861,ndcg@10= 0.0748,ndcg@5= 0.0497  ndcg@10= 0.0627  ndcg@20= 0.0791  ndcg@50= 0.1103  ndcg@100= 0.1370  hit@10= 0.1166  recall@10= 0.1166  recall@20= 0.1824  precision@10= 0.0117,39,0:26:14,2021-03-31 10:43:05,44f313699e60f6525ffd_1949,thuir-deeper,"python main.py --model_name NFM --dataset ml100k-5-1 --val_metrics ndcg@10 --test_metrics ndcg@5.10.20.50.100,hit@10,recall@10.20,precision@10 --l2 0 --dropout 0.2 --layers '[128, 64]' --eval_batch_size 16"
NFM,"l2=0,dropout=0.2,layers='[64]',eval_batch_size=16",loss= 9139.1787,ndcg@10= 0.0761,ndcg@5= 0.0483  ndcg@10= 0.0665  ndcg@20= 0.0829  ndcg@50= 0.1155  ndcg@100= 0.1409  hit@10= 0.1357  recall@10= 0.1357  recall@20= 0.2004  precision@10= 0.0136,26,0:24:23,2021-03-31 10:41:15,741641a4b5b24eb32f37_1949,thuir-deeper,"python main.py --model_name NFM --dataset ml100k-5-1 --val_metrics ndcg@10 --test_metrics ndcg@5.10.20.50.100,hit@10,recall@10.20,precision@10 --l2 0 --dropout 0.2 --layers '[64]' --eval_batch_size 16"
NFM,"l2=0,dropout=0.3,layers='[256, 128, 64]',eval_batch_size=16",loss= 6580.7627,ndcg@10= 0.0740,ndcg@5= 0.0424  ndcg@10= 0.0619  ndcg@20= 0.0787  ndcg@50= 0.1087  ndcg@100= 0.1327  hit@10= 0.1315  recall@10= 0.1315  recall@20= 0.1983  precision@10= 0.0131,38,0:30:07,2021-03-31 10:46:58,cc070b9972e270615d65_1949,thuir-deeper,"python main.py --model_name NFM --dataset ml100k-5-1 --val_metrics ndcg@10 --test_metrics ndcg@5.10.20.50.100,hit@10,recall@10.20,precision@10 --l2 0 --dropout 0.3 --layers '[256, 128, 64]' --eval_batch_size 16"
NFM,"l2=0,dropout=0.3,layers='[128, 64]',eval_batch_size=16",loss= 10703.3066,ndcg@10= 0.0743,ndcg@5= 0.0473  ndcg@10= 0.0649  ndcg@20= 0.0830  ndcg@50= 0.1095  ndcg@100= 0.1373  hit@10= 0.1304  recall@10= 0.1304  recall@20= 0.2025  precision@10= 0.0130,17,0:16:04,2021-03-31 11:01:26,d679010ad39e2f430806_1949,thuir-deeper,"python main.py --model_name NFM --dataset ml100k-5-1 --val_metrics ndcg@10 --test_metrics ndcg@5.10.20.50.100,hit@10,recall@10.20,precision@10 --l2 0 --dropout 0.3 --layers '[128, 64]' --eval_batch_size 16"
NFM,"l2=0,dropout=0.3,layers='[64]',eval_batch_size=16",loss= 8500.6455,ndcg@10= 0.0774,ndcg@5= 0.0447  ndcg@10= 0.0649  ndcg@20= 0.0833  ndcg@50= 0.1123  ndcg@100= 0.1363  hit@10= 0.1379  recall@10= 0.1379  recall@20= 0.2110  precision@10= 0.0138,29,0:19:19,2021-03-31 11:04:41,0be3a367f2b373375b9b_1949,thuir-deeper,"python main.py --model_name NFM --dataset ml100k-5-1 --val_metrics ndcg@10 --test_metrics ndcg@5.10.20.50.100,hit@10,recall@10.20,precision@10 --l2 0 --dropout 0.3 --layers '[64]' --eval_batch_size 16"
NFM,"l2=0.0001,dropout=0.2,layers='[256, 128, 64]',eval_batch_size=16",loss= 12200.9834,ndcg@10= 0.0735,ndcg@5= 0.0444  ndcg@10= 0.0602  ndcg@20= 0.0833  ndcg@50= 0.1113  ndcg@100= 0.1365  hit@10= 0.1145  recall@10= 0.1145  recall@20= 0.2078  precision@10= 0.0115,15,0:17:28,2021-03-31 11:06:50,cd5f6bba8f649cd58310_1949,thuir-deeper,"python main.py --model_name NFM --dataset ml100k-5-1 --val_metrics ndcg@10 --test_metrics ndcg@5.10.20.50.100,hit@10,recall@10.20,precision@10 --l2 0.0001 --dropout 0.2 --layers '[256, 128, 64]' --eval_batch_size 16"
NFM,"l2=0.0001,dropout=0.2,layers='[128, 64]',eval_batch_size=16",loss= 8001.8652,ndcg@10= 0.0759,ndcg@5= 0.0504  ndcg@10= 0.0658  ndcg@20= 0.0833  ndcg@50= 0.1130  ndcg@100= 0.1398  hit@10= 0.1283  recall@10= 0.1283  recall@20= 0.1983  precision@10= 0.0128,31,0:18:51,2021-03-31 11:15:15,e0a6e88cf9a981021515_1949,thuir-deeper,"python main.py --model_name NFM --dataset ml100k-5-1 --val_metrics ndcg@10 --test_metrics ndcg@5.10.20.50.100,hit@10,recall@10.20,precision@10 --l2 0.0001 --dropout 0.2 --layers '[128, 64]' --eval_batch_size 16"
NFM,"l2=0.0001,dropout=0.2,layers='[64]',eval_batch_size=16",loss= 9433.0186,ndcg@10= 0.0765,ndcg@5= 0.0437  ndcg@10= 0.0629  ndcg@20= 0.0845  ndcg@50= 0.1161  ndcg@100= 0.1399  hit@10= 0.1262  recall@10= 0.1262  recall@20= 0.2121  precision@10= 0.0126,26,0:15:36,2021-03-31 11:17:15,918a9aa382fd00adc5ca_1949,thuir-deeper,"python main.py --model_name NFM --dataset ml100k-5-1 --val_metrics ndcg@10 --test_metrics ndcg@5.10.20.50.100,hit@10,recall@10.20,precision@10 --l2 0.0001 --dropout 0.2 --layers '[64]' --eval_batch_size 16"
NFM,"l2=0.0001,dropout=0.3,layers='[256, 128, 64]',eval_batch_size=16",loss= 7312.2656,ndcg@10= 0.0789,ndcg@5= 0.0550  ndcg@10= 0.0655  ndcg@20= 0.0830  ndcg@50= 0.1136  ndcg@100= 0.1413  hit@10= 0.1166  recall@10= 0.1166  recall@20= 0.1866  precision@10= 0.0117,39,0:20:54,2021-03-31 11:25:39,e9878d8909d83e02ce27_1949,thuir-deeper,"python main.py --model_name NFM --dataset ml100k-5-1 --val_metrics ndcg@10 --test_metrics ndcg@5.10.20.50.100,hit@10,recall@10.20,precision@10 --l2 0.0001 --dropout 0.3 --layers '[256, 128, 64]' --eval_batch_size 16"
