model_name,description,train_metrics,val_metrics,test_metrics,best_iter,time,date,version,server,cmd
OPNN,"l2=0,layers='[256, 128, 64]',eval_batch_size=1",loss= nan,ndcg@10= 0.0030,ndcg@5= 0.0025  ndcg@10= 0.0032  ndcg@20= 0.0048  ndcg@50= 0.0076  ndcg@100= 0.0126  hit@10= 0.0064  recall@10= 0.0064  recall@20= 0.0127  precision@10= 0.0006,21,0:20:18,2021-04-04 22:35:23,b8dc3b7efec8a0db9423_1949,thuir-deeper,"python main.py --model_name OPNN --dataset ml100k-5-1 --val_metrics ndcg@10 --test_metrics ndcg@5.10.20.50.100,hit@10,recall@10.20,precision@10 --l2 0 --layers '[256, 128, 64]' --eval_batch_size 1"
OPNN,"l2=0,layers='[128, 64]',eval_batch_size=1",loss= nan,ndcg@10= 0.0030,ndcg@5= 0.0025  ndcg@10= 0.0032  ndcg@20= 0.0048  ndcg@50= 0.0076  ndcg@100= 0.0126  hit@10= 0.0064  recall@10= 0.0064  recall@20= 0.0127  precision@10= 0.0006,21,0:20:37,2021-04-04 22:56:47,7a4c9232b73f0e1d8885_1949,thuir-deeper,"python main.py --model_name OPNN --dataset ml100k-5-1 --val_metrics ndcg@10 --test_metrics ndcg@5.10.20.50.100,hit@10,recall@10.20,precision@10 --l2 0 --layers '[128, 64]' --eval_batch_size 1"
OPNN,"l2=0,layers='[64]',eval_batch_size=1",loss= nan,ndcg@10= 0.0030,ndcg@5= 0.0025  ndcg@10= 0.0032  ndcg@20= 0.0048  ndcg@50= 0.0076  ndcg@100= 0.0126  hit@10= 0.0064  recall@10= 0.0064  recall@20= 0.0127  precision@10= 0.0006,21,0:20:09,2021-04-04 22:35:14,00aaa56c6c751c403b0c_1949,thuir-deeper,"python main.py --model_name OPNN --dataset ml100k-5-1 --val_metrics ndcg@10 --test_metrics ndcg@5.10.20.50.100,hit@10,recall@10.20,precision@10 --l2 0 --layers '[64]' --eval_batch_size 1"
OPNN,"l2=0.0001,layers='[256, 128, 64]',eval_batch_size=1",loss= nan,ndcg@10= 0.0030,ndcg@5= 0.0025  ndcg@10= 0.0032  ndcg@20= 0.0048  ndcg@50= 0.0076  ndcg@100= 0.0126  hit@10= 0.0064  recall@10= 0.0064  recall@20= 0.0127  precision@10= 0.0006,21,0:20:22,2021-04-04 22:35:27,f330b432c83d331f156a_1949,thuir-deeper,"python main.py --model_name OPNN --dataset ml100k-5-1 --val_metrics ndcg@10 --test_metrics ndcg@5.10.20.50.100,hit@10,recall@10.20,precision@10 --l2 0.0001 --layers '[256, 128, 64]' --eval_batch_size 1"
OPNN,"l2=0.0001,layers='[128, 64]',eval_batch_size=1",loss= nan,ndcg@10= 0.0030,ndcg@5= 0.0025  ndcg@10= 0.0032  ndcg@20= 0.0048  ndcg@50= 0.0076  ndcg@100= 0.0126  hit@10= 0.0064  recall@10= 0.0064  recall@20= 0.0127  precision@10= 0.0006,21,0:20:52,2021-04-04 22:57:03,b10427cc2d2740431852_1949,thuir-deeper,"python main.py --model_name OPNN --dataset ml100k-5-1 --val_metrics ndcg@10 --test_metrics ndcg@5.10.20.50.100,hit@10,recall@10.20,precision@10 --l2 0.0001 --layers '[128, 64]' --eval_batch_size 1"
OPNN,"l2=0.0001,layers='[64]',eval_batch_size=1",loss= nan,ndcg@10= 0.0030,ndcg@5= 0.0025  ndcg@10= 0.0032  ndcg@20= 0.0048  ndcg@50= 0.0076  ndcg@100= 0.0126  hit@10= 0.0064  recall@10= 0.0064  recall@20= 0.0127  precision@10= 0.0006,21,0:27:54,2021-04-04 23:04:04,83a556c3dc8cedb1f899_1949,thuir-deeper,"python main.py --model_name OPNN --dataset ml100k-5-1 --val_metrics ndcg@10 --test_metrics ndcg@5.10.20.50.100,hit@10,recall@10.20,precision@10 --l2 0.0001 --layers '[64]' --eval_batch_size 1"
OPNN,"l2=1e-05,layers='[256, 128, 64]',eval_batch_size=1",loss= nan,ndcg@10= 0.0030,ndcg@5= 0.0025  ndcg@10= 0.0032  ndcg@20= 0.0048  ndcg@50= 0.0076  ndcg@100= 0.0126  hit@10= 0.0064  recall@10= 0.0064  recall@20= 0.0127  precision@10= 0.0006,21,0:28:43,2021-04-04 23:10:50,67f5e84c9077bf84d7f3_1949,thuir-deeper,"python main.py --model_name OPNN --dataset ml100k-5-1 --val_metrics ndcg@10 --test_metrics ndcg@5.10.20.50.100,hit@10,recall@10.20,precision@10 --l2 1e-05 --layers '[256, 128, 64]' --eval_batch_size 1"
OPNN,"l2=1e-05,layers='[128, 64]',eval_batch_size=1",loss= nan,ndcg@10= 0.0030,ndcg@5= 0.0025  ndcg@10= 0.0032  ndcg@20= 0.0048  ndcg@50= 0.0076  ndcg@100= 0.0126  hit@10= 0.0064  recall@10= 0.0064  recall@20= 0.0127  precision@10= 0.0006,21,0:19:46,2021-04-04 23:16:40,859babceb6f219bc6c85_1949,thuir-deeper,"python main.py --model_name OPNN --dataset ml100k-5-1 --val_metrics ndcg@10 --test_metrics ndcg@5.10.20.50.100,hit@10,recall@10.20,precision@10 --l2 1e-05 --layers '[128, 64]' --eval_batch_size 1"
OPNN,"l2=1e-05,layers='[64]',eval_batch_size=1",loss= nan,ndcg@10= 0.0030,ndcg@5= 0.0025  ndcg@10= 0.0032  ndcg@20= 0.0048  ndcg@50= 0.0076  ndcg@100= 0.0126  hit@10= 0.0064  recall@10= 0.0064  recall@20= 0.0127  precision@10= 0.0006,21,0:20:05,2021-04-04 23:17:13,39cde2261d602632915d_1949,thuir-deeper,"python main.py --model_name OPNN --dataset ml100k-5-1 --val_metrics ndcg@10 --test_metrics ndcg@5.10.20.50.100,hit@10,recall@10.20,precision@10 --l2 1e-05 --layers '[64]' --eval_batch_size 1"
OPNN,"l2=1e-06,layers='[256, 128, 64]',eval_batch_size=1",loss= nan,ndcg@10= 0.0030,ndcg@5= 0.0025  ndcg@10= 0.0032  ndcg@20= 0.0048  ndcg@50= 0.0076  ndcg@100= 0.0126  hit@10= 0.0064  recall@10= 0.0064  recall@20= 0.0127  precision@10= 0.0006,21,0:20:50,2021-04-04 23:31:59,cd191331bda975835053_1949,thuir-deeper,"python main.py --model_name OPNN --dataset ml100k-5-1 --val_metrics ndcg@10 --test_metrics ndcg@5.10.20.50.100,hit@10,recall@10.20,precision@10 --l2 1e-06 --layers '[256, 128, 64]' --eval_batch_size 1"
OPNN,"l2=1e-06,layers='[128, 64]',eval_batch_size=1",loss= nan,ndcg@10= 0.0030,ndcg@5= 0.0025  ndcg@10= 0.0032  ndcg@20= 0.0048  ndcg@50= 0.0076  ndcg@100= 0.0126  hit@10= 0.0064  recall@10= 0.0064  recall@20= 0.0127  precision@10= 0.0006,21,0:19:35,2021-04-04 23:36:44,a37d2e869cbc9dc28ec4_1949,thuir-deeper,"python main.py --model_name OPNN --dataset ml100k-5-1 --val_metrics ndcg@10 --test_metrics ndcg@5.10.20.50.100,hit@10,recall@10.20,precision@10 --l2 1e-06 --layers '[128, 64]' --eval_batch_size 1"
OPNN,"l2=1e-06,layers='[64]',eval_batch_size=1",loss= nan,ndcg@10= 0.0030,ndcg@5= 0.0025  ndcg@10= 0.0032  ndcg@20= 0.0048  ndcg@50= 0.0076  ndcg@100= 0.0126  hit@10= 0.0064  recall@10= 0.0064  recall@20= 0.0127  precision@10= 0.0006,21,0:20:21,2021-04-04 23:38:31,da6939bf0e32e667b4e5_1949,thuir-deeper,"python main.py --model_name OPNN --dataset ml100k-5-1 --val_metrics ndcg@10 --test_metrics ndcg@5.10.20.50.100,hit@10,recall@10.20,precision@10 --l2 1e-06 --layers '[64]' --eval_batch_size 1"
